Date,archived stream spoiler chats/13-sentinels-spoiler-chat,archived stream spoiler chats/armored-core-spoiler-garage,archived stream spoiler chats/botwtotk-shrine-spoiler,archived stream spoiler chats/call-me-al-somnium-spoiler,archived stream spoiler chats/dp-spoiler-chat-on-jads,archived stream spoiler chats/ff16-spoilers,archived stream spoiler chats/ghost-trick-spoilers,archived stream spoiler chats/inscryption-spoiler-deck,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/outer-wilds-spoiler-chat,archived stream spoiler chats/rabiribi-spoiler-burrow-for-some-reason,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,archived stream spoiler chats/va11-hall-of-spoilers,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,archived stream spoiler chats/zero-escape-spoiler-chan,dragons-den/9-rows-9-columns-9-boxes,dragons-den/AI-Somnium-Files-2-spoiler-den,dragons-den/baldurs-gate-3-goty-den,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree,dragons-den/evolve-idol,dragons-den/game-jam-dvd,dragons-den/GoW-Raggyrock-spoiler-Den,dragons-den/Guilty-Gear-Den,dragons-den/Jenshin-Den,dragons-den/roguelike-den,Important/announcements,Important/stream-announcements,MAIN/cringe-cafe,MAIN/dragons-den,MAIN/general,MAIN/mental-health,MAIN/share-stuff-you-made,Stream Stuff/jadseya-awards-2023,Stream Stuff/stream-art-museum
2022-07-03 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2756,0,0,0,0,0,0,0,0,0,0,1088,56328,1226,110,315,0,268
2022-07-10 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,2135,69892,1272,98,376,0,0
2022-07-17 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812,0,0,0,0,0,0,0,0,0,0,1860,67411,1686,1061,549,0,320
2022-07-24 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,1945,55610,1864,149,424,0,0
2022-07-31 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43238,0,0,0,0,0,0,0,0,0,0,0,1859,1052,76879,3540,69,574,0,2434
2022-08-07 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46682,0,0,0,0,0,0,0,0,0,0,0,780,1784,85346,2083,161,672,0,1733
2022-08-14 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2889,0,0,0,0,2156,63014,1758,130,660,0,1058
2022-08-21 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843,0,0,0,0,2355,79469,2243,192,429,0,0
2022-08-28 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,0,0,0,0,1893,62025,3081,170,360,0,0
2022-09-04 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884,0,0,0,0,1564,54311,941,60,362,0,0
2022-09-11 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2321,58184,1120,432,437,0,0
2022-09-18 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967,56837,1411,155,436,0,0
2022-09-25 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2241,61372,1013,55,377,0,0
2022-10-02 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499,66489,1067,152,511,0,0
2022-10-09 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2082,60553,536,65,489,0,0
2022-10-16 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209,57888,618,57,321,0,0
2022-10-23 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1599,57859,1161,21,538,0,0
2022-10-30 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568,63523,726,178,409,0,0
2022-11-06 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,0,0,0,0,1206,1715,79451,555,48,500,0,643
2022-11-13 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928,0,0,0,0,1005,2177,71687,631,110,340,0,1124
2022-11-20 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2969,0,0,0,0,194,1752,64769,1303,50,500,0,270
2022-11-27 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2167,0,0,0,0,0,2574,88394,1278,174,675,0,0
2022-12-04 00:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,0,0,502,1626,108277,1313,157,654,0,349
2022-12-11 00:00:00+00:00,0,0,0,0,0,0,0,0,9169,0,0,0,0,0,0,0,0,0,0,0,0,628,0,0,0,0,730,1560,111686,932,270,898,0,1206
2022-12-18 00:00:00+00:00,0,0,0,0,0,0,0,0,12366,0,0,0,0,0,0,351,0,0,0,0,0,72,0,0,0,0,1136,1279,131624,2373,214,570,0,2296
