Author,Date,Reactions
fsce,2023-06-22T17:23:20.5200000+00:00,0
fsce,2023-06-22T17:23:21.0960000+00:00,0
aburrki,2023-06-22T17:24:14.0560000+00:00,0
.asphaltus,2023-06-22T17:26:03.4810000+00:00,0
fsce,2023-06-22T17:26:22.1240000+00:00,0
fsce,2023-06-22T17:26:38.7600000+00:00,0
baredboke,2023-06-22T17:27:14.9250000+00:00,0
fsce,2023-06-22T17:28:07.9670000+00:00,0
simmsy,2023-06-22T17:29:41.7780000+00:00,0
simmsy,2023-06-22T17:29:56.2910000+00:00,0
kiwimeowahura,2023-06-22T17:31:52.8180000+00:00,0
kiwimeowahura,2023-06-22T17:32:05.7450000+00:00,0
khetrak,2023-06-22T17:33:15.0720000+00:00,0
.asphaltus,2023-06-22T17:35:08.8090000+00:00,0
simmsy,2023-06-22T17:35:15.1660000+00:00,0
.asphaltus,2023-06-22T17:35:50.8810000+00:00,0
saichiiro.,2023-06-22T17:36:12.1750000+00:00,0
.asphaltus,2023-06-22T17:37:33.0200000+00:00,0
kiwimeowahura,2023-06-22T17:40:51.6580000+00:00,0
simmsy,2023-06-22T17:41:34.5090000+00:00,0
.asphaltus,2023-06-22T17:41:46.5570000+00:00,0
.asphaltus,2023-06-22T17:42:06.5220000+00:00,0
saichiiro.,2023-06-22T17:42:10.9010000+00:00,0
saichiiro.,2023-06-22T17:42:20.7910000+00:00,0
.asphaltus,2023-06-22T17:42:26.9480000+00:00,0
saichiiro.,2023-06-22T17:42:30.2520000+00:00,0
simmsy,2023-06-22T17:42:32.1700000+00:00,0
simmsy,2023-06-22T17:42:58.9220000+00:00,0
kiwimeowahura,2023-06-22T17:43:16.3490000+00:00,0
.asphaltus,2023-06-22T17:43:19.2610000+00:00,0
khetrak,2023-06-22T17:43:20.5250000+00:00,0
khetrak,2023-06-22T17:43:54.9860000+00:00,0
.asphaltus,2023-06-22T17:44:11.6230000+00:00,0
khetrak,2023-06-22T17:44:24.5890000+00:00,0
.asphaltus,2023-06-22T17:44:31.9610000+00:00,0
simmsy,2023-06-22T17:44:51.4090000+00:00,0
saichiiro.,2023-06-22T17:45:08.7670000+00:00,0
hydus,2023-06-22T17:45:51.7440000+00:00,1
hydus,2023-06-22T17:45:55.9940000+00:00,0
simmsy,2023-06-22T17:47:14.2060000+00:00,0
simmsy,2023-06-22T17:47:20.0860000+00:00,0
hydus,2023-06-22T17:47:36.7240000+00:00,0
kiwimeowahura,2023-06-22T17:47:39.6140000+00:00,0
saichiiro.,2023-06-22T17:47:47.4920000+00:00,0
khetrak,2023-06-22T17:47:49.9640000+00:00,0
fsce,2023-06-22T17:47:50.3210000+00:00,0
saichiiro.,2023-06-22T17:48:13.6360000+00:00,0
kiwimeowahura,2023-06-22T17:48:18.6080000+00:00,0
hydus,2023-06-22T17:48:28.5890000+00:00,0
kiwimeowahura,2023-06-22T17:48:43.0560000+00:00,0
kiwimeowahura,2023-06-22T17:48:45.9740000+00:00,0
simmsy,2023-06-22T17:49:00.4420000+00:00,0
.asphaltus,2023-06-22T17:49:00.5910000+00:00,0
hydus,2023-06-22T17:49:13.4150000+00:00,0
simmsy,2023-06-22T17:49:18.3490000+00:00,0
hydus,2023-06-22T17:49:19.3500000+00:00,0
khetrak,2023-06-22T17:49:20.8000000+00:00,0
saichiiro.,2023-06-22T17:49:28.4910000+00:00,0
khetrak,2023-06-22T17:49:28.8820000+00:00,0
kiwimeowahura,2023-06-22T17:49:29.4510000+00:00,0
hydus,2023-06-22T17:49:35.2200000+00:00,0
simmsy,2023-06-22T17:49:37.3390000+00:00,0
.asphaltus,2023-06-22T17:49:38.2240000+00:00,0
kiwimeowahura,2023-06-22T17:49:46.3080000+00:00,0
simmsy,2023-06-22T17:49:46.7540000+00:00,0
khetrak,2023-06-22T17:49:49.9530000+00:00,0
khetrak,2023-06-22T17:49:51.6310000+00:00,0
saichiiro.,2023-06-22T17:49:52.9690000+00:00,0
kiwimeowahura,2023-06-22T17:49:54.1910000+00:00,0
simmsy,2023-06-22T17:50:05.9650000+00:00,0
khetrak,2023-06-22T17:50:08.2910000+00:00,0
simmsy,2023-06-22T17:50:11.6320000+00:00,0
.asphaltus,2023-06-22T17:50:31.5460000+00:00,0
saichiiro.,2023-06-22T17:50:33.4830000+00:00,0
simmsy,2023-06-22T17:50:36.6040000+00:00,0
simmsy,2023-06-22T17:50:39.3730000+00:00,0
simmsy,2023-06-22T17:50:42.4950000+00:00,0
simmsy,2023-06-22T17:50:46.8700000+00:00,0
khetrak,2023-06-22T17:50:50.7880000+00:00,0
khetrak,2023-06-22T17:50:56.4920000+00:00,0
simmsy,2023-06-22T17:50:57.4860000+00:00,0
khetrak,2023-06-22T17:51:02.8940000+00:00,0
hydus,2023-06-22T17:51:09.4880000+00:00,0
simmsy,2023-06-22T17:51:09.5810000+00:00,0
kiwimeowahura,2023-06-22T17:51:29.5300000+00:00,0
.asphaltus,2023-06-22T17:51:45.4350000+00:00,0
khetrak,2023-06-22T17:51:55.4050000+00:00,0
quinners,2023-06-22T17:52:01.1740000+00:00,0
khetrak,2023-06-22T17:52:10.3570000+00:00,0
saichiiro.,2023-06-22T17:52:15.0030000+00:00,0
baredboke,2023-06-22T17:52:22.8880000+00:00,0
saichiiro.,2023-06-22T17:52:36.0870000+00:00,0
kiwimeowahura,2023-06-22T17:52:42.7690000+00:00,0
simmsy,2023-06-22T17:53:02.2270000+00:00,0
