Author,Date,Reactions
jeremiah2263,2023-11-28T16:58:48.8360000+00:00,0
celestinno,2023-11-28T16:58:50.9550000+00:00,0
hoorayitsharley,2023-11-28T16:58:52.0970000+00:00,0
celestinno,2023-11-28T16:58:53.5240000+00:00,0
flashplex,2023-11-28T16:59:00.7020000+00:00,0
kiwimeowahura,2023-11-28T16:59:45.4480000+00:00,0
jeremiah2263,2023-11-28T17:00:14.7940000+00:00,0
truth12885,2023-11-28T17:00:21.1580000+00:00,0
zargy,2023-11-28T17:00:27.7880000+00:00,0
sciembe,2023-11-28T17:00:35.6320000+00:00,0
truth12885,2023-11-28T17:00:38.6020000+00:00,0
flashplex,2023-11-28T17:00:40.9250000+00:00,0
celestinno,2023-11-28T17:00:49.0630000+00:00,0
kiwimeowahura,2023-11-28T17:00:50.6420000+00:00,0
kiwimeowahura,2023-11-28T17:00:55.8630000+00:00,0
falzar25,2023-11-28T17:00:57.8260000+00:00,0
niquel,2023-11-28T17:01:03.2440000+00:00,0
hoorayitsharley,2023-11-28T17:01:11.9800000+00:00,0
kiwimeowahura,2023-11-28T17:01:13.4060000+00:00,0
celestinno,2023-11-28T17:01:15.7310000+00:00,0
zargy,2023-11-28T17:01:33.3620000+00:00,0
celestinno,2023-11-28T17:01:41.0200000+00:00,0
hoorayitsharley,2023-11-28T17:01:41.2470000+00:00,0
celestinno,2023-11-28T17:01:45.8480000+00:00,0
celestinno,2023-11-28T17:01:57.8410000+00:00,0
tfk365,2023-11-28T17:02:00.5960000+00:00,0
kiwimeowahura,2023-11-28T17:02:28.6000000+00:00,0
sciembe,2023-11-28T17:02:35.1430000+00:00,0
hoorayitsharley,2023-11-28T17:02:35.3100000+00:00,0
eterna.light,2023-11-28T17:02:36.6340000+00:00,3
zargy,2023-11-28T17:02:36.7550000+00:00,0
hoorayitsharley,2023-11-28T17:02:58.6400000+00:00,0
celestinno,2023-11-28T17:03:02.0620000+00:00,0
hoorayitsharley,2023-11-28T17:03:03.0110000+00:00,0
hoorayitsharley,2023-11-28T17:03:09.6770000+00:00,0
khetrak,2023-11-28T17:03:13.8720000+00:00,0
hoorayitsharley,2023-11-28T17:03:18.6040000+00:00,0
eterna.light,2023-11-28T17:03:37.5010000+00:00,0
hoorayitsharley,2023-11-28T17:03:39.8760000+00:00,0
falzar25,2023-11-28T17:03:40.9120000+00:00,0
khetrak,2023-11-28T17:03:45.8550000+00:00,0
flashplex,2023-11-28T17:03:47.5270000+00:00,0
hoorayitsharley,2023-11-28T17:04:10.7990000+00:00,0
kappacalculus,2023-11-28T17:04:11.8320000+00:00,0
hoorayitsharley,2023-11-28T17:04:12.6820000+00:00,0
kappacalculus,2023-11-28T17:04:22.0440000+00:00,0
hoorayitsharley,2023-11-28T17:04:23.2850000+00:00,0
cheeseyx,2023-11-28T17:04:24.5890000+00:00,0
kiwimeowahura,2023-11-28T17:04:25.6850000+00:00,1
khetrak,2023-11-28T17:04:28.1900000+00:00,0
kiwimeowahura,2023-11-28T17:04:30.0340000+00:00,0
eterna.light,2023-11-28T17:04:31.2450000+00:00,0
kappacalculus,2023-11-28T17:04:34.3280000+00:00,0
sciembe,2023-11-28T17:04:37.0150000+00:00,0
hoorayitsharley,2023-11-28T17:04:59.3780000+00:00,0
launchpadmcquack5109,2023-11-28T17:05:05.8480000+00:00,0
kappacalculus,2023-11-28T17:05:15.9160000+00:00,0
kappacalculus,2023-11-28T17:05:18.1370000+00:00,0
truth12885,2023-11-28T17:05:23.1360000+00:00,0
kiwimeowahura,2023-11-28T17:05:31.1860000+00:00,0
falzar25,2023-11-28T17:05:37.3210000+00:00,3
kappacalculus,2023-11-28T17:05:46.2130000+00:00,0
eterna.light,2023-11-28T17:05:48.5980000+00:00,0
kappacalculus,2023-11-28T17:05:52.0100000+00:00,0
kiwimeowahura,2023-11-28T17:05:53.2570000+00:00,0
kappacalculus,2023-11-28T17:05:54.9180000+00:00,0
niquel,2023-11-28T17:06:19.8020000+00:00,0
niquel,2023-11-28T17:06:21.2640000+00:00,0
kerkenes,2023-11-28T17:06:23.4730000+00:00,0
cheeseyx,2023-11-28T17:06:28.0170000+00:00,0
kiwimeowahura,2023-11-28T17:06:29.1020000+00:00,0
flashplex,2023-11-28T17:06:35.0340000+00:00,0
