Author,Date,Reactions
howyudoinn,2023-08-26T17:19:59.0980000+00:00,2
waynebrady_,2023-08-26T17:20:14.9300000+00:00,0
aerolfos,2023-08-26T17:20:22.4850000+00:00,0
aerolfos,2023-08-26T17:20:46.0240000+00:00,0
manofshadows,2023-08-26T17:20:51.4060000+00:00,0
zargy,2023-08-26T17:20:54.9170000+00:00,0
aerolfos,2023-08-26T17:21:07.2000000+00:00,0
aerolfos,2023-08-26T17:21:25.5660000+00:00,0
robyntact,2023-08-26T17:21:51.9290000+00:00,0
howyudoinn,2023-08-26T17:22:07.4350000+00:00,0
robyntact,2023-08-26T17:22:15.4750000+00:00,0
aerolfos,2023-08-26T17:22:20.9910000+00:00,0
aerolfos,2023-08-26T17:22:23.5820000+00:00,0
robyntact,2023-08-26T17:22:39.1440000+00:00,0
robyntact,2023-08-26T17:22:42.0600000+00:00,0
cobalt_drake,2023-08-26T17:22:45.1770000+00:00,0
waynebrady_,2023-08-26T17:22:57.6810000+00:00,0
robyntact,2023-08-26T17:23:02.9110000+00:00,0
waynebrady_,2023-08-26T17:23:06.3090000+00:00,0
robyntact,2023-08-26T17:23:09.9400000+00:00,0
aerolfos,2023-08-26T17:23:16.5060000+00:00,2
manofshadows,2023-08-26T17:23:17.1120000+00:00,0
aerolfos,2023-08-26T17:23:26.4440000+00:00,0
robyntact,2023-08-26T17:23:48.1310000+00:00,0
robyntact,2023-08-26T17:23:56.7790000+00:00,0
aerolfos,2023-08-26T17:23:58.8180000+00:00,0
robyntact,2023-08-26T17:23:59.4200000+00:00,0
aerolfos,2023-08-26T17:24:01.4910000+00:00,0
aerolfos,2023-08-26T17:24:12.1160000+00:00,0
howyudoinn,2023-08-26T17:24:13.1750000+00:00,0
aerolfos,2023-08-26T17:24:15.9370000+00:00,0
robyntact,2023-08-26T17:24:19.9430000+00:00,0
aerolfos,2023-08-26T17:24:37.4310000+00:00,0
manofshadows,2023-08-26T17:24:39.0430000+00:00,1
aerolfos,2023-08-26T17:24:55.9600000+00:00,0
aerolfos,2023-08-26T17:25:07.6900000+00:00,0
howyudoinn,2023-08-26T17:25:27.8290000+00:00,0
robyntact,2023-08-26T17:25:31.0530000+00:00,0
robyntact,2023-08-26T17:25:37.1660000+00:00,0
robyntact,2023-08-26T17:25:44.2300000+00:00,0
aerolfos,2023-08-26T17:25:48.9960000+00:00,2
robyntact,2023-08-26T17:25:51.1680000+00:00,0
robyntact,2023-08-26T17:26:11.0350000+00:00,0
manofshadows,2023-08-26T17:26:15.2780000+00:00,0
aerolfos,2023-08-26T17:26:21.1030000+00:00,0
robyntact,2023-08-26T17:26:27.7250000+00:00,0
robyntact,2023-08-26T17:26:30.8890000+00:00,0
robyntact,2023-08-26T17:26:33.1870000+00:00,0
cobalt_drake,2023-08-26T17:26:34.7090000+00:00,1
howyudoinn,2023-08-26T17:26:34.9330000+00:00,1
robyntact,2023-08-26T17:26:35.1160000+00:00,0
robyntact,2023-08-26T17:26:36.3010000+00:00,0
robyntact,2023-08-26T17:26:38.5620000+00:00,0
waynebrady_,2023-08-26T17:26:41.4340000+00:00,0
aerolfos,2023-08-26T17:26:44.5150000+00:00,0
aerolfos,2023-08-26T17:26:50.5590000+00:00,0
manofshadows,2023-08-26T17:26:58.6060000+00:00,0
robyntact,2023-08-26T17:27:18.0360000+00:00,0
robyntact,2023-08-26T17:27:45.6720000+00:00,0
robyntact,2023-08-26T17:27:49.6340000+00:00,0
manofshadows,2023-08-26T17:28:00.6920000+00:00,0
howyudoinn,2023-08-26T17:28:05.9250000+00:00,0
robyntact,2023-08-26T17:28:24.2260000+00:00,0
robyntact,2023-08-26T17:28:41.4290000+00:00,0
robyntact,2023-08-26T17:28:44.2230000+00:00,0
robyntact,2023-08-26T17:28:44.9580000+00:00,0
robyntact,2023-08-26T17:28:46.7380000+00:00,0
robyntact,2023-08-26T17:28:47.8790000+00:00,0
